Brand,Actual_price,Discount_price,rating,RAM,Storage,processors,windows
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i5,Windows 11
HP,"₹92,110","₹73,999",4.4,8 GB,256 GB,i5,Windows 11
MSI,"₹70,990","₹54,990",4.3,16 GB,512 GB,i5,Windows 11
SAMSUNG,"₹82,500","₹56,990",4.5,16 GB,512 GB,i3,Windows 11
ASUS,"₹54,990","₹35,990",4.3,16 GB,512 GB,i3,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,512 GB,i5,Windows 11
Acer,"₹92,999","₹69,990",4.3,8 GB,256 GB,i5,Windows 11
ASUS,"₹58,990","₹33,990",4.3,16 GB,512 GB,Ryzen 3,Windows 11
MSI,"₹52,990","₹41,320",4.3,16 GB,512 GB,i7,Windows 11
ASUS,"₹32,990","₹12,990",3.8,16 GB,512 GB,i3,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,4 GB,256 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.3,8 GB,512 GB,i5,Windows 11
HP,"₹31,990","₹25,999",4.3,16 GB,512 GB,i5,Windows 11
Acer,"₹68,000","₹54,990",3.8,8 GB,512 GB,i5,Windows 11
ASUS,"₹32,990","₹15,990",3.9,16 GB,256 GB,i5,Windows 11
Acer,"₹32,999","₹22,990",4.1,4 GB,512GB,i5,Windows 11
CHUWI,"₹44,990","₹21,990",4,8 GB,512 GB,Ryzen 5,Windows 11
CHUWI,"₹49,990","₹37,990",4.1,8 GB,512 GB,,Windows 11
Lenovo,"₹69,890","₹50,061",4.2,12GB,512 GB,,Windows 11
HP,"₹62,526","₹49,990",4.3,12 GB,512 GB,,Windows 11
Lenovo,"₹75,000","₹49,890",4.3,16 GB,512 GB,,Windows 11
MSI,"₹67,990","₹51,990",4.3,16 GB,512 GB,,Windows 11
ASUS,"₹75,990","₹47,990",4.2,16 GB,512 GB,,Windows 11
Lenovo,"₹61,594","₹40,990",4.3,8 GB,,,
HP,"₹64,094","₹56,990",4.3,16 GB,512 GB,Ryzen 5,Windows 11
ASUS,"₹54,990","₹37,990",4.3,16 GB,256GB,i3,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256 GB,i5,Windows 11
HP,"₹92,110","₹73,999",4.4,8 GB,512 GB,i5,Windows 11
Infinix,"₹69,990","₹49,990",4.7,16 GB,512 GB,Ryzen 3,Windows 11
ASUS,"₹32,990","₹13,490",3.8,16 GB,256 GB,i5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,4 GB,256 GB,i3,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,512 GB,Ryzen 7,Windows 11
ASUS,"₹50,990","₹31,990",4.2,8 GB,512 GB,i5,Windows 11
MSI,"₹76,990","₹56,990",4.4,8 GB,512 GB,i5,Windows 11
ASUS,"₹54,990","₹39,990",4.3,16 GB,512 GB,i5,Windows 11
Acer,"₹79,999","₹50,990",4.3,16 GB,512 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.1,16 GB,256 GB,i3,Windows 11
CHUWI,"₹44,990","₹21,990",4.4,16 GB,512 GB,i3,Windows 11
MSI,"₹75,990","₹54,990",4.2,8 GB,512 GB,Ryzen 5,Windows 11
ASUS,"₹69,990","₹42,699",4,16 GB,512GB,i3,Windows 11
CHUWI,"₹49,990","₹37,990",4.3,8 GB,512 GB,Ryzen 3,Windows 11
ASUS,"₹56,990","₹34,990",4.4,12GB,512 GB,i3,Windows 11
Lenovo,"₹82,690","₹62,990",4.3,12 GB,24 GB,Ryzen 5,Windows 11
ASUS,"₹54,990","₹35,990",4.4,8 GB,512 GB,,Windows 11
ASUS,"₹61,990","₹36,990",4.2,8 GB,512 GB,,Windows 11
HP,"₹56,260","₹49,990",4.3,8 GB,512 GB,,Windows 11
ASUS,"₹1,22,990","₹96,990",4,8 GB,512 GB,,Windows 11
Acer,"₹56,999","₹33,490",4,16 GB,512 GB,,
HP,"₹74,048","₹59,990",4.1,16 GB,512 GB,i5,Windows 11
MSI,"₹80,990","₹59,990",4,16 GB,512 GB,i7,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i3,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,Ryzen 5,Windows 11
SAMSUNG,"₹57,499","₹39,990",4.5,8 GB,256 GB,Ryzen 5,Windows 11
Lenovo,"₹37,690","₹22,990",4,8 GB,512 GB,i5,Windows 11
Lenovo,"₹87,990","₹62,490",4.4,8 GB,512 GB,i5,Windows 11
ASUS,"₹74,990","₹46,990",4.4,12 GB,512 GB,i3,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,512 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.2,8 GB,256 GB,i3,Windows 11
Acer,"₹84,999","₹53,990",4.2,16 GB,512 GB,Ryzen 3,Windows 11
HP,"₹46,709","₹31,990",4.1,16 GB,512 GB,i5,Windows 11
CHUWI,"₹44,990","₹21,990",4,8 GB,256 GB,i5,Windows 11
CHUWI,"₹49,990","₹37,990",4.3,8 GB,256 GB,i5,Windows 11
ASUS,"₹50,990","₹33,990",4.3,12GB,512GB,Ryzen 5,Windows 11
MSI,"₹52,990","₹36,990",4.2,12 GB,512 GB,i5,Windows 11
ASUS,"₹66,990","₹46,890",4.5,8 GB,512 GB,Ryzen 7,Windows 11
Colorful,"₹99,999","₹59,990",4,8 GB,512 GB,Ryzen 5,Windows 11
HP,"₹50,648","₹22,990",4.4,16 GB,512 GB,Ryzen 3,Windows 11
ASUS,"₹74,990","₹44,990",4.3,16 GB,512 GB,,Windows 11
Lenovo,"₹81,890","₹58,090",4.3,8 GB,256 GB,,Windows 11
Lenovo,"₹62,100","₹39,999",4.4,8 GB,512 GB,,Windows 11
ASUS,"₹79,990","₹68,990",4.2,16 GB,512 GB,,Windows 11
Lenovo,"₹45,990","₹25,990",4.4,16 GB,512 GB,,Windows 11
Infinix,"₹99,990","₹53,990",4.3,16 GB,512 GB,i5,Windows 11
Acer,"₹33,999","₹15,990",3.8,8 GB,512 GB,Ryzen 7,Windows 11
Acer,"₹89,999","₹71,990",4.3,16 GB,512 GB,i3,Windows 11
Acer,"₹35,999","₹19,990",3.9,8 GB,256GB,Ryzen 5,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256 GB,i5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i3,Windows 11
Thomson,"₹39,990","₹24,990",3.8,8 GB,256 GB,i9,Windows 11
ASUS,"₹66,990","₹37,900",4.2,8 GB,512 GB,Ryzen 5,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,256 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.2,8 GB,512 GB,i3,Windows 11
Acer,"₹48,999","₹29,490",4.5,16 GB,512 GB,i7,Windows 11
ASUS,"₹1,10,990","₹83,990",3.9,8 GB,512 GB,Ryzen 3,Windows 11
HP,"₹30,016","₹16,990",4.1,16 GB,512 GB,i3,Windows 11
Lenovo,"₹59,990","₹30,490",4.1,4 GB,256 GB,i5,Windows 11
CHUWI,"₹44,990","₹21,990",4,8 GB,512GB,Ryzen 5,Windows 11
CHUWI,"₹49,990","₹37,990",4.2,8 GB,512 GB,i7,Windows 11
Infinix,"₹69,990","₹42,990",4.4,12GB,512 GB,i5,Windows 11
ASUS,"₹61,990","₹41,990",3.8,12 GB,512 GB,i5,Windows 11
Acer,"₹49,999","₹19,990",4.2,16 GB,256 GB,,Windows 11
Acer,"₹66,999","₹46,990",4.3,8 GB,512 GB,,Windows 11
HP,"₹52,055","₹43,990",4.2,8 GB,512 GB,,Windows 11
MSI,"₹64,990","₹47,990",4.1,16 GB,512 GB,,Windows 11
Lenovo,"₹47,990","₹37,990",4.2,16 GB,512 GB,,
Acer,"₹56,990","₹44,990",4,16 GB,512 GB,,
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i5,Windows 11
HP,"₹92,110","₹73,999",4.4,8 GB,256 GB,i7,Windows 11
Acer,"₹79,990","₹49,990",4.3,16 GB,512 GB,Ryzen 3,Windows 11
ASUS,"₹61,990","₹36,990",4.4,16 GB,512 GB,Ryzen 5,Windows 11
ASUS,"₹79,990","₹68,990",4.4,8 GB,512 GB,i3,Windows 11
MSI,"₹48,990","₹37,990",4.3,16 GB,512 GB,Ryzen 5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,16 GB,512 GB,Ryzen 3,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,256 GB,i5,Windows 11
ASUS,"₹74,990","₹46,990",4.4,8 GB,256 GB,i3,Windows 11
ASUS,"₹50,990","₹31,990",4.3,8 GB,512 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.1,8 GB,512 GB,i3,Windows 11
CHUWI,"₹44,990","₹21,990",4.1,16 GB,512 GB,i5,Windows 11
HP,"₹50,903","₹34,999",4.2,8 GB,256 GB,i3,Windows 11
Acer,"₹44,990","₹32,990",4.3,8 GB,512 GB,i3,Windows 11
ASUS,"₹58,990","₹33,990",4.2,16 GB,512 GB,Ryzen 5,Windows 11
HP,"₹70,064","₹47,900",4,16 GB,512 GB,i5,Windows 11
CHUWI,"₹49,990","₹37,990",4.4,8 GB,512 GB,i3,Windows 11
ASUS,"₹74,990","₹46,990",4.7,12GB,512GB,Ryzen 7,Windows 11
Infinix,"₹69,990","₹49,990",4.2,12 GB,512 GB,i7,Windows 11
DELL,"₹48,529","₹32,990",4.2,8 GB,512 GB,i7,Windows 11
ASUS,"₹75,990","₹62,990",4.2,16 GB,512 GB,i3,Windows 11
MSI,"₹66,990","₹54,990",4.2,8 GB,512 GB,i3,Windows 11
MSI,"₹47,869","₹78,990",4.4,16 GB,512 GB,,Windows 11
DELL,,"₹33,980",5,16 GB,512 GB,,Windows 11
Acer,"₹1,01,999","₹84,990",4,16 GB,512 GB,i5,Windows 11
HP,"₹70,064","₹47,900",4.2,8 GB,256GB,i3,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256 GB,i5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i5,Windows 11
DELL,"₹48,529","₹32,990",4.2,8 GB,512 GB,Ryzen 5,Windows 11
Acer,"₹84,999","₹61,990",4.3,8 GB,512 GB,i5,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,16 GB,256 GB,Ryzen 5,Windows 11
CHUWI,"₹59,990","₹41,990",4.3,8 GB,512 GB,Ryzen 3,Windows 11
HP,"₹64,094","₹56,990",4.3,16 GB,512 GB,i3,Windows 11
Lenovo,"₹81,890","₹58,090",4.4,16 GB,512 GB,i3,Windows 11
Acer,"₹85,999","₹58,990",3.6,16 GB,512 GB,Ryzen 5,Windows 11
Lenovo,"₹44,990","₹26,490",4.1,16 GB,256 GB,i3,Windows 11
CHUWI,"₹44,990","₹21,990",4,8 GB,512GB,i5,Windows 11
CHUWI,"₹49,990","₹37,990",4.4,8 GB,512 GB,Ryzen 5,Windows 11
Lenovo,"₹82,690","₹62,990",4.3,12GB,24 GB,i3,Windows 11
ASUS,"₹54,990","₹35,990",4.4,12 GB,512 GB,i5,Windows 11
MSI,"₹76,990","₹56,990",4.4,8 GB,512 GB,i3,Windows 11
MSI,"₹61,990","₹39,990",4.2,16 GB,512 GB,Ryzen 5,Windows 11
HP,"₹56,260","₹49,990",4.3,8 GB,512 GB,i5,Windows 11
Lenovo,"₹82,690","₹58,990",4.4,8 GB,512 GB,,Windows 11
DELL,"₹68,990","₹31,490",4.3,12 GB,512 GB,,Windows 11
ASUS,"₹79,990","₹68,990",4,8 GB,512 GB,,Windows 11
HP,"₹86,050","₹64,990",4.3,16 GB,512 GB,,Windows 11
ASUS,"₹38,990","₹26,990",5,16 GB,512 GB,,Windows 11
Lenovo,"₹55,090","₹35,660",4.2,8 GB,512 GB,Ryzen 5,Windows 11
HP,"₹49,995","₹35,590",5,8 GB,512 GB,i3,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,i3,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i3,Windows 11
DELL,"₹48,529","₹32,990",4.2,8 GB,256 GB,i5,Windows 11
Apple,"₹1,14,900","₹1,04,990",4.7,8 GB,512 GB,i3,Windows 11
ASUS,"₹1,14,990","₹91,990",4.7,16 GB,256 GB,i5,Windows 11
Acer,"₹48,999","₹29,490",4.2,16 GB,512 GB,i3,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,8 GB,256 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.3,8 GB,512 GB,i7,Windows 11
